Timestamp, Iteration, Pressure, Depth, Ext Temp, Int Temp, Euler X, Euler Y, Euler Z, GYRO X, GYRO Y, GYRO Z, LINEAR X, LINEAR Y, LINEAR Z, ACCL X, ACCL Y, ACCL Z, GRAV X, GRAV Y, GRAV Z, Errors
10989,0,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-125.06,0.00,-0.00,0.00,0.00,0.00,0.00,9.49,1.86,-1.32,9.54,1.84,-1.29,Errors
11634,1,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-125.06,0.00,0.00,0.00,0.00,-0.01,-0.02,9.53,1.83,-1.32,9.54,1.84,-1.29,Errors
12276,2,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-125.06,0.00,0.00,-0.00,-0.01,0.02,0.00,9.52,1.86,-1.30,9.54,1.84,-1.29,Errors
12947,3,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-125.06,-0.00,0.00,0.00,-0.03,-0.02,0.00,9.51,1.82,-1.30,9.54,1.84,-1.29,Errors
13592,4,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-125.06,-0.00,0.00,-0.00,0.00,0.01,-0.01,9.53,1.85,-1.31,9.54,1.84,-1.29,Errors
14235,5,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-125.06,-0.00,0.00,-0.00,-0.02,0.00,0.00,9.51,1.84,-1.30,9.54,1.84,-1.29,Errors
14877,6,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-125.06,0.00,0.00,-0.00,-0.02,0.02,0.03,9.52,1.87,-1.26,9.54,1.84,-1.29,Errors
15548,7,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-125.06,-0.00,0.00,-0.00,-0.01,0.01,0.00,9.52,1.86,-1.29,9.54,1.84,-1.29,Errors
16193,8,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-125.06,0.00,-0.00,0.00,-0.02,0.01,-0.04,9.52,1.85,-1.34,9.54,1.84,-1.29,Errors
16836,9,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-125.06,-0.00,-0.00,0.00,-0.02,0.01,0.01,9.52,1.86,-1.27,9.54,1.84,-1.29,Errors
17479,10,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-125.06,0.00,0.00,0.00,-0.01,0.01,-0.01,9.52,1.84,-1.30,9.54,1.84,-1.29,Errors
18148,11,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-125.06,0.00,-0.00,0.00,-0.03,0.02,0.00,9.51,1.86,-1.29,9.54,1.84,-1.29,Errors
18795,12,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-125.06,0.00,-0.00,0.00,-0.02,0.00,0.00,9.52,1.86,-1.30,9.54,1.84,-1.29,Errors
19436,13,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-125.06,0.00,0.00,-0.00,-0.03,0.00,0.00,9.51,1.84,-1.30,9.54,1.84,-1.29,Errors
20071,14,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-125.06,0.00,0.00,0.00,-0.06,-0.01,0.00,9.43,1.84,-1.30,9.54,1.84,-1.29,Errors
20753,15,0.00,-10.04,20.00,INTERNAL TEMP,359.94,76.63,-125.06,0.01,-0.01,0.00,-0.41,0.04,0.15,9.34,1.76,-1.34,9.54,1.84,-1.30,Errors
21395,16,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-124.88,0.00,-0.00,-0.02,0.00,0.01,0.03,9.53,1.86,-1.26,9.54,1.85,-1.29,Errors
22039,17,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-124.88,0.00,0.00,-0.00,-0.02,0.00,-0.03,9.53,1.86,-1.30,9.54,1.85,-1.29,Errors
22709,18,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-124.88,0.00,0.00,0.00,-0.02,0.00,-0.02,9.52,1.84,-1.32,9.54,1.85,-1.29,Errors
23354,19,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-124.88,0.00,-0.00,-0.00,0.00,0.00,-0.02,9.53,1.85,-1.32,9.54,1.85,-1.29,Errors
23997,20,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-124.88,0.00,-0.00,0.00,0.00,-0.04,-0.01,9.53,1.81,-1.30,9.54,1.85,-1.29,Errors
24632,21,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-124.88,0.00,-0.00,0.00,0.00,0.00,0.01,9.50,1.84,-1.33,9.54,1.85,-1.29,Errors
25313,22,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-124.88,0.00,0.00,0.00,-0.03,-0.02,0.00,9.51,1.82,-1.29,9.54,1.85,-1.29,Errors
25957,23,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-124.88,0.00,0.00,-0.00,-0.01,-0.01,-0.02,9.52,1.83,-1.31,9.54,1.85,-1.29,Errors
26600,24,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-124.88,0.00,0.00,0.00,-0.01,0.00,-0.03,9.53,1.85,-1.31,9.54,1.85,-1.29,Errors
27236,25,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-124.88,-0.00,0.00,0.00,0.00,-0.01,0.00,9.52,1.85,-1.32,9.54,1.85,-1.29,Errors
27918,26,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-124.88,0.00,-0.00,0.00,-0.01,-0.01,0.00,9.52,1.84,-1.32,9.54,1.85,-1.29,Errors
28561,27,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-124.88,0.00,-0.00,0.00,0.00,-0.01,-0.05,9.51,1.85,-1.30,9.54,1.85,-1.29,Errors
29196,28,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-124.88,-0.00,0.00,0.00,0.05,-0.02,0.00,9.60,1.82,-1.28,9.54,1.85,-1.29,Errors
29841,29,0.00,-10.04,20.00,INTERNAL TEMP,0.00,76.63,-125.00,-0.00,0.01,0.00,-0.02,-0.04,0.05,9.52,1.80,-1.24,9.54,1.85,-1.29,Errors
